"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"Thriftiness and Urgency - ALL ERP on"
"04/02/2012 12:26:29:166 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-urgent","mid-urgent","var-thrift","mid-thrift","[step]","total-wait-count"
"483","0.6","0.5","0.1","1","100","1284"
"484","0.6","0.5","0.2","0.2","100","1291"
"485","0.6","0.5","0.2","0.5","100","1284"
"486","0.6","0.5","0.2","1","100","1310"
"487","0.6","0.5","0.30000000000000004","0.2","100","1302"
"488","0.6","0.5","0.30000000000000004","0.5","100","1291"
"490","0.6","0.5","0.4","0.2","100","1300"
"489","0.6","0.5","0.30000000000000004","1","100","1291"
"491","0.6","0.5","0.4","0.5","100","1303"
"492","0.6","0.5","0.4","1","100","1283"
"493","0.6","0.5","0.5","0.2","100","1281"
"494","0.6","0.5","0.5","0.5","100","1279"
"495","0.6","0.5","0.5","1","100","1294"
"496","0.6","0.5","0.6","0.2","100","1304"
"497","0.6","0.5","0.6","0.5","100","1286"
"499","0.6","0.5","0.7000000000000001","0.2","100","1278"
"498","0.6","0.5","0.6","1","100","1288"
"501","0.6","0.5","0.7000000000000001","1","100","1285"
"500","0.6","0.5","0.7000000000000001","0.5","100","1288"
"502","0.6","0.5","0.8","0.2","100","1282"
"503","0.6","0.5","0.8","0.5","100","1286"
"504","0.6","0.5","0.8","1","100","1284"
"505","0.6","0.5","0.9","0.2","100","1281"
"507","0.6","0.5","0.9","1","100","1290"
"506","0.6","0.5","0.9","0.5","100","1294"
"508","0.6","0.5","1","0.2","100","1296"
"509","0.6","0.5","1","0.5","100","1295"
"510","0.6","0.5","1","1","100","1289"
"511","0.6","1","0.1","0.2","100","1300"
"512","0.6","1","0.1","0.5","100","1290"
"513","0.6","1","0.1","1","100","1278"
"514","0.6","1","0.2","0.2","100","1303"
"516","0.6","1","0.2","1","100","1271"
"515","0.6","1","0.2","0.5","100","1292"
"517","0.6","1","0.30000000000000004","0.2","100","1280"
"518","0.6","1","0.30000000000000004","0.5","100","1289"
"519","0.6","1","0.30000000000000004","1","100","1276"
"520","0.6","1","0.4","0.2","100","1304"
"521","0.6","1","0.4","0.5","100","1282"
"522","0.6","1","0.4","1","100","1290"
"523","0.6","1","0.5","0.2","100","1287"
"525","0.6","1","0.5","1","100","1291"
"524","0.6","1","0.5","0.5","100","1276"
